CBSA_Title,PerChangeGDP,NatResMining,Constr,DurGoManu,NonGoodManu,Trade,TransUtil,Info,FinInsRealEstRentLea,ProBusiServi,EdSerHealthSociAs,ArtEntRec,OtherServices,Govern
"Bowling Green, KY",1.7,-0.08,-0.34,0.05,-0.05,0.3,-0.02,-0.14,0.86,0.47,0.41,0.18,0.1,-0.04
"Bremerton-Silverdale, WA",2,0.05,-0.04,0.61,0.03,0.45,0.01,-0.47,0.51,0.69,0.19,0.1,0.01,-0.17
"Bridgeport-Stamford-Norwalk, CT",-3,-0.16,-0.01,-0.2,0.12,-0.24,-0.04,0,-1.67,-0.64,0.02,-0.06,0.04,-0.12
"Brownsville-Harlingen, TX",-0.8,-0.1,-0.24,-0.43,0.77,-0.31,0.02,-0.16,-0.67,-0.02,0.27,0.13,-0.12,0.1
"Brunswick, GA",0.7,0,0.11,0.12,,,,-0.38,-0.28,0.25,0.14,-0.1,0.18,0.08
"Buffalo-Cheektowaga-Niagara Falls, NY",0.3,-0.05,-0.29,0.03,0.11,0.1,-0.07,0.1,0.13,-0.02,0.18,0.11,0.04,-0.08
"Burlington, NC",2.4,0.1,0.07,0.17,0.46,1.3,0.15,-0.07,-0.35,0.65,-0.08,0,-0.1,0.12
"Burlington-South Burlington, VT",1.3,0.03,-0.05,0.26,0.03,-0.41,-0.04,0.04,,0.64,-0.05,0.12,-0.01,0
"California-Lexington Park, MD",0,-0.04,0.06,0.25,-0.04,0.07,-0.15,-0.12,-0.3,0.63,0.06,0.1,-0.18,-0.39
"Canton-Massillon, OH",1.5,0.12,0.67,0.33,-0.09,0.37,0.09,-0.08,-0.54,0.47,0.03,0.04,0.01,0.11
"Cape Coral-Fort Myers, FL",1.5,-0.27,0.34,0.2,-0.06,0.68,-0.05,0.19,-0.46,0.4,0.06,0.35,0.04,0.12
"Cape Girardeau, MO-IL",-1,-0.09,-0.12,0.24,-1.04,-0.79,0.09,0.11,0.22,,-0.07,0.11,0.1,-0.05
"Carbondale-Marion, IL",1.8,1.33,-0.33,0.39,-0.05,0.25,0.12,-0.23,-0.46,0.34,0.53,-0.05,0.15,-0.23
"Carson City, NV",5.9,-0.02,1.29,1.06,-0.01,0.41,0,0.6,0.55,0.66,0.28,-0.13,0.02,1.19
"Casper, WY",6.5,2.22,-0.97,,,0.78,1.56,-0.04,3.18,0.15,-0.05,0.07,-0.06,-0.2
"Cedar Rapids, IA",-2.2,-0.06,0.02,0.74,0.21,0.38,-0.08,-0.04,-3.67,0.32,0.03,0.02,-0.06,-0.01
"Chambersburg-Waynesboro, PA",2.5,0.04,0.21,0.76,0.41,0.3,-0.31,-0.11,0.84,0.49,0.04,0.02,0.03,-0.19
"Champaign-Urbana, IL",0.2,-0.64,-0.08,0.02,0.01,,,0.25,-0.09,0.08,0.53,,-0.06,-0.09
"Charleston, WV",0.8,,,-0.03,-0.16,-0.08,-0.27,0.06,0.05,-0.22,0,0.07,-0.06,-0.15
"Charleston-North Charleston, SC",4.2,0.02,0.49,0.16,0.18,0.65,0.18,0.2,1.3,0.63,0.31,0.15,-0.03,0
"Charlotte-Concord-Gastonia, NC-SC",3.5,-0.01,-0.06,0.16,0.53,0.53,,0.07,1.13,0.66,0.17,0.15,0.04,0.09
"Charlottesville, VA",2.3,,0.16,-0.14,,,,-0.33,0.5,0.66,,-0.06,0.12,0.4
"Chattanooga, TN-GA",3,-0.02,-0.16,1.23,0.03,0.55,0.3,0.24,0.11,0.53,0.1,0.07,0.04,0.01
"Cheyenne, WY",-0.8,0.58,-0.05,,-0.89,-0.15,0.12,-0.01,-0.23,0.44,0.19,-0.13,0.01,-0.77
"Chicago-Naperville-Elgin, IL-IN-WI",1.5,0.01,-0.09,0.15,-0.04,0.43,0.14,-0.01,,0.43,0.18,0.09,0.05,-0.07
"Chico, CA",1.7,-0.57,0.19,0.23,-0.15,1.06,-0.05,-0.05,-0.74,0.6,0.69,0.26,0.02,0.2
"Cincinnati, OH-KY-IN",2.4,,,,,0.52,0.13,0.05,1.23,-0.08,0.19,,0.28,0.03
"Clarksville, TN-KY",1.8,-0.05,-0.1,0.5,0.47,,,0.11,0.7,0.21,-0.02,-0.03,-0.01,-0.37
"Cleveland, TN",1,-0.09,0.09,-1.92,1.03,0.06,-0.21,,,1.75,-0.99,0.03,,0.09
"Cleveland-Elyria, OH",2.9,1.37,0.02,0.13,0.1,0.29,0.06,-0.04,0.2,0.65,-0.1,0.13,-0.02,0.06
"Coeur d'Alene, ID",2.9,-0.7,0.33,-0.28,-0.06,0.93,0.04,0.22,0.66,0.68,0.22,0.28,0.38,0.24
"College Station-Bryan, TX",2.6,-0.08,0.22,0.05,0.13,1.07,0.08,-0.03,0.02,0.25,0.28,0.26,0.03,0.33
"Colorado Springs, CO",3.3,0.18,0.38,0.92,0.03,0.33,0.13,-0.52,0.58,0.61,0.41,0.29,0.1,-0.1
"Columbia, MO",1.5,-0.1,-0.22,0.53,0.22,0.07,0.04,0.27,2.21,-1.17,0.27,-0.48,-0.02,-0.11
"Columbia, SC",-0.4,-0.05,0.36,-1.06,0.19,,,0.06,,-0.13,0.1,0.06,0.03,0.07
"Columbus, GA-AL",0.6,-0.02,0.11,0.2,0.14,,,,-0.66,0.28,0.1,-0.05,0.17,0.02
"Columbus, IN",3.5,-0.11,-0.01,2.53,-0.05,0.39,0.43,-0.22,0.13,0.32,0.15,0.03,0.01,-0.06
"Columbus, OH",2.1,-0.1,0.34,0.19,0.06,0.37,-0.05,0.05,0.21,0.43,0.37,0.06,0.01,0.13
"Corpus Christi, TX",-4,0.37,-0.36,-0.21,-3.75,0.06,-0.03,-0.04,-0.04,0.09,0.12,-0.07,-0.11,-0.01
"Corvallis, OR",2.7,-0.03,0.04,1.38,0.15,0.32,0.03,0.15,-0.19,0.28,0.18,0.09,0.07,0.2
"Crestview-Fort Walton Beach-Destin, FL",3.5,0.07,-0.03,-0.12,0.01,0.57,0.07,0.17,2.41,0.27,0.15,0.31,-0.19,-0.22
"Cumberland, MD-WV",1.2,0.14,-0.17,0.18,-0.04,,0,,1.28,0.29,0.01,-0.41,-0.02,0.22
"Dallas-Fort Worth-Arlington, TX",3.9,0.81,0.18,0.45,-0.12,0.16,0.3,0.13,1.06,,0.26,0.08,0.03,0.04
"Dalton, GA",0.4,0.3,0.16,0.15,1.43,-2.11,-0.23,-0.01,0.21,0.08,0.36,0.02,-0.07,0.14
"Danville, IL",-1.7,-0.76,-0.06,0.23,1.08,-0.02,0,-0.55,-0.81,-0.23,0,-0.14,-0.16,-0.27
"Daphne-Fairhope-Foley, AL",2.4,0.02,-0.07,0.17,0.07,0.74,0.04,0.2,0.18,0.24,0.39,0.32,0.05,0.05
"Davenport-Moline-Rock Island, IA-IL",2.6,-0.02,0,0.92,0.13,0.34,0.19,-0.04,0.13,,,0.03,-0.08,-0.18
"Dayton, OH",0.6,-0.03,0,0.4,-0.09,0.4,0.16,-0.11,-0.83,0.26,0.49,0.12,-0.05,-0.08
"Decatur, AL",-0.2,0.05,-0.08,-0.17,-0.76,0.28,0.11,,-0.13,0.27,0.01,0,,0.05
"Decatur, IL",-0.8,-0.22,-0.2,0.96,-0.34,0.16,0.13,-0.59,-0.61,-0.15,0.1,0.02,-0.01,-0.03
"Deltona-Daytona Beach-Ormond Beach, FL",0.7,-0.02,0.38,0.11,0.1,0.45,0.01,0.02,-1.26,0.48,0.29,0.1,-0.07,0.1
"Denver-Aurora-Lakewood, CO",3.6,,0.19,0.14,,,0.31,,,1.08,0.16,0.22,0.06,0.08
"Des Moines-West Des Moines, IA",2.9,,0.02,0.13,0.29,0.3,0.1,0.05,1.61,,0.11,0.07,0.03,-0.04
"Detroit-Warren-Dearborn, MI",2.7,-0.02,0.19,0.88,0.04,,,-0.22,0.54,0.68,0.08,0.13,0,-0.07
"Dothan, AL",1.5,0.07,-0.17,0.05,0.7,0.38,-0.44,-0.01,-0.24,0.57,0.38,0.11,-0.03,0.09
"Dover, DE",0.8,-0.03,-0.16,,,0.58,0.18,0.01,-0.48,0.4,0.07,-0.11,-0.1,0.37
"Dubuque, IA",2.9,-0.18,-0.32,1.78,0.06,0.32,-0.01,-0.17,1.18,0.08,0.17,0.08,-0.11,-0.01
"Duluth, MN-WI",0.7,-0.22,-0.37,0.32,-0.2,0.29,0.02,0.01,0.38,-0.05,0.24,0.11,0.13,0.02
"Durham-Chapel Hill, NC",0,-0.02,0.03,0.16,-0.7,0.42,-0.06,-0.14,-0.71,0.53,,,0,0.11
"East Stroudsburg, PA",2.7,0.17,0.06,-0.04,-0.41,0.35,0.03,-0.06,1.78,0.23,0.22,0.5,0.06,-0.23
"Eau Claire, WI",3,-0.01,0.2,0.57,0.13,,,-0.02,-0.14,0.35,0.35,0.12,0.02,0.07
"El Centro, CA",-1,-1.64,-0.11,0.11,0.06,0.63,0.04,0.15,-0.72,0.38,-0.08,-0.07,0.08,0.16
"Elizabethtown-Fort Knox, KY",2.4,0.35,-0.24,-0.03,-0.29,0.14,0.01,0.53,2.52,0.04,-0.05,0,-0.06,-0.55
"Elkhart-Goshen, IN",11.3,-0.01,0.58,8.19,0.32,0.72,0.05,-0.06,0.01,1.53,-0.17,0.05,0.14,-0.04
"Elmira, NY",-0.3,-0.48,-0.22,0.17,0.56,0.66,-0.1,0.17,-0.68,-0.16,-0.1,-0.09,-0.01,-0.02
"El Paso, TX",0.3,0.01,0,-0.03,-0.36,0.59,0.24,0.15,-0.27,0.01,0.22,-0.02,,-0.12
"Enid, OK",-7.8,-4.37,-4.21,0.07,1.04,0.54,0.47,-0.01,-0.77,0.28,-0.65,-0.13,0.17,-0.23
"Erie, PA",-0.8,-0.1,-0.05,-0.9,-0.17,-0.28,0.05,-0.01,0.55,0.16,0.05,-0.01,-0.06,-0.04
"Eugene, OR",2,0.02,0.1,0.14,0.13,0.3,0.06,-0.22,0.76,0.13,0.33,0.08,0.05,0.12
"Evansville, IN-KY",1,0,0.04,-0.36,0.41,0.19,0.13,-0.08,-0.01,0.32,0.3,0.1,0.03,-0.08
"Fairbanks, AK",-0.9,0.76,-0.84,-0.02,-0.18,,0.18,-0.16,0.07,0.58,0.03,-0.01,-0.05,-1.11
"Fargo, ND-MN",1.8,-0.24,-0.57,0.28,0.26,0.47,0.12,-0.1,0.77,0.31,0.4,-0.01,0.09,-0.03
"Farmington, NM",2.9,3.48,0.59,-0.13,0.02,0.1,-0.52,0.12,-0.34,-0.01,-0.01,-0.1,-0.01,-0.29
"Fayetteville, NC",-0.2,-0.04,0.2,0.08,-0.19,-0.01,0.03,-0.03,-0.24,0.09,-0.04,0.05,0.11,-0.27
"Fayetteville-Springdale-Rogers, AR-MO",3.4,0,0.24,0.16,0.58,0.62,-0.05,0.12,0.02,1.29,0.29,0.11,0.07,-0.06
"Flagstaff, AZ",1.2,-0.15,0.14,-0.18,0.14,0.04,0.01,0.26,-1.3,0.33,0.12,1.48,0.02,0.28
"Flint, MI",0.4,-0.02,0.56,-1.08,-0.01,0.48,-0.01,-0.21,-0.14,0.25,0.49,0.05,0.08,-0.04
"Florence, SC",1.7,-0.03,-0.16,0.39,0.23,0.61,0.05,0.03,-0.14,0.39,0.24,0,-0.03,0.14
"Florence-Muscle Shoals, AL",0.6,0.37,-0.23,-0.15,-0.38,0.34,0.03,0.05,0.07,0.37,0,0.02,0.04,0
"Fond du Lac, WI",2.8,-1.21,-0.07,1.49,-0.1,0.44,0.15,-0.39,1.55,0.38,0.39,0.12,-0.03,0.06
"Fort Collins, CO",5.7,-0.01,-0.08,1.14,0.25,1.1,0.04,0.13,1.35,0.97,0.34,0.2,0.1,0.21
"Fort Smith, AR-OK",0.2,-0.57,-0.13,0.23,-0.26,0.11,0.21,0,0.98,-0.3,0.14,-0.09,0.01,-0.12
"Fort Wayne, IN",2.1,-0.07,0.23,0.48,-0.16,0.72,,-0.07,0.23,0.39,0.2,0.08,,-0.1
"Fresno, CA",0.7,-1.13,0.24,0.04,0.23,0.18,0.14,0.1,0.23,0.16,0.36,0.12,-0.04,0.1
"Gadsden, AL",1,0.04,-0.15,0.15,0,0.46,-0.27,-0.06,0.47,0.41,-0.19,-0.07,0.18,0.04
"Gainesville, FL",2.4,-0.14,0.31,-0.1,-0.04,0.41,0,-0.07,1.12,0.13,0.45,0.16,-0.04,0.19
"Gainesville, GA",4.7,0.01,0.36,0.84,1.27,0.6,0.56,-0.07,-1.02,0.59,0.48,0.86,0.11,0.15
"Gettysburg, PA",2.6,0.37,1.34,0.38,0.93,-0.01,0.05,0.05,-0.26,-0.57,0.41,0.13,-0.09,-0.1
"Glens Falls, NY",0.5,-0.19,0.44,-0.09,-0.31,0.56,-0.02,0.33,-0.53,0.01,0.34,0,-0.02,-0.02
"Goldsboro, NC",0.5,-0.02,0.15,-0.39,0.2,0.17,0.86,-0.32,0.21,-0.29,-0.26,0.07,0.02,0.07
"Grand Forks, ND-MN",-0.2,-1.35,-0.81,0.4,0.33,-0.25,0,0.02,1.29,0.18,0.18,-0.04,-0.02,-0.08
"Grand Island, NE",2.3,-1.25,-0.2,0.4,1.25,0.34,0.32,-0.13,1.02,0.36,0.1,0.05,0.08,-0.06
"Grand Junction, CO",4.2,1.75,-0.11,,,0.7,0.28,0,0.38,0.07,0.37,0.14,0.02,0.1
"Grand Rapids-Wyoming, MI",3.3,-0.07,0.21,1.21,0.08,0.55,0.06,0.2,0.54,0.2,0.18,0.1,0.03,-0.03
"Grants Pass, OR",4.3,0.23,0.36,0.22,0.15,0.55,0.31,-0.14,1.82,-0.32,0.71,0.58,-0.26,0.08
"Great Falls, MT",0.6,-0.06,-0.14,0.01,-1.02,0.22,0.14,0.09,0.55,0.28,0.65,-0.02,0.1,-0.19
"Greeley, CO",9.4,1.7,1.59,0.57,0.07,0.89,0.94,0.1,2.12,0.55,0.24,0.21,0.24,0.14
"Green Bay, WI",2,-0.2,-0.04,0.49,0.41,0.61,0.24,0.11,0.06,-0.32,0.3,0.21,0.05,0.04
"Greensboro-High Point, NC",1.5,-0.01,0.14,0.73,-0.44,0.17,0.38,0.04,0.11,0.3,0,0.04,-0.03,0.07
"Greenville, NC",2.3,-0.05,-0.25,0.29,0.76,-0.51,0.07,-0.22,0.61,0.6,0.63,-0.06,0.02,0.41
"Greenville-Anderson-Mauldin, SC",2.6,-0.01,-0.12,0.59,0.15,0.33,0.12,0.26,0.45,0.32,0.27,0.12,0.01,0.11
"Gulfport-Biloxi-Pascagoula, MS",-2.3,,-0.37,0.05,,0.03,0.02,0.05,-0.04,0,0.13,-0.49,0.03,-0.59
"Hagerstown-Martinsburg, MD-WV",2.5,0.49,0.02,0.22,0.3,,,0.05,-0.17,0.42,0.14,0.08,0.11,-0.11
"Hammond, LA",0.7,-0.21,0.12,0,0.11,1.63,-0.84,0.03,0.48,0.46,-0.99,0.13,-0.12,-0.08
"Hanford-Corcoran, CA",0.3,-0.84,-0.3,-0.11,0.31,0.09,0.89,0.04,-0.09,-0.03,0.24,-0.01,0.06,0.04
"Harrisburg-Carlisle, PA",2,0.02,0.11,0.04,0.13,0.23,0.39,-0.17,0.16,0.96,0.25,-0.02,0.02,-0.08
"Harrisonburg, VA",0.7,0.06,0.11,0.19,-0.18,0.07,-0.11,0,-0.34,0.29,0.11,0.11,0.24,0.16
"Hartford-West Hartford-East Hartford, CT",1.4,,,0.84,0,0.42,0.06,-0.28,0.38,0.32,0.08,0.05,0,-0.29
"Hattiesburg, MS",1.4,0.09,-0.17,,,0.26,0.12,-0.06,,0.5,0.61,0.16,,-0.25
"Hickory-Lenoir-Morganton, NC",5,0.03,0.14,0.93,1.29,,,0,0.11,0.69,0.21,0.04,-0.05,0.17
"Hilton Head Island-Bluffton-Beaufort, SC",1.5,0.01,0.35,0.18,0.12,0.24,-0.01,-0.2,-0.53,1.51,-0.55,0.24,0.2,-0.09
"Hinesville, GA",1.2,-0.01,-0.06,0.4,1.11,0.29,-0.6,-0.03,0.18,0.14,-0.04,0.15,-0.12,-0.19
"Homosassa Springs, FL",2,-0.04,0.14,-0.08,0.09,0.6,0.08,-0.01,0.57,0.29,-0.35,0.02,0.63,0.09
"Hot Springs, AR",1.9,-0.73,0.06,0.66,0.21,0.95,0,0.03,-0.06,0.54,0.3,0.18,-0.12,-0.09
"Houma-Thibodaux, LA",-2.1,0.89,-0.04,0.11,-0.05,-0.16,-2.17,-0.25,-0.59,0.24,0.08,-0.17,0,-0.04
"Houston-The Woodlands-Sugar Land, TX",0,2.72,1.46,-0.35,1.49,,,-0.08,-0.7,-1.54,-0.23,-0.12,-0.07,-0.17
"Huntington-Ashland, WV-KY-OH",0.7,0.36,-0.29,,-0.32,-0.36,,0.01,1.17,,0.26,0.05,-0.05,-0.13
"Huntsville, AL",1.9,0.04,0.04,0.57,-0.08,0.31,-0.05,0.07,0.37,0.73,0.17,0.05,0.03,-0.39
"Idaho Falls, ID",4.9,,,0.26,0.05,0.78,0.09,0.11,1.6,1.85,0.06,0.11,-0.01,0.08
"Indianapolis-Carmel-Anderson, IN",2.5,-0.03,0.07,0.29,0.1,0.47,0.07,,,0.42,0.53,0.08,0.01,-0.12
"Iowa City, IA",0.5,-0.12,-0.02,-0.27,-0.1,0.35,0.1,-0.07,0.43,0.19,-0.12,0.06,0.05,0.04
"Ithaca, NY",1.5,,,-0.03,-0.03,0.26,-0.11,-0.05,-0.84,2.76,-0.39,0.48,-0.07,-0.02
"Jackson, MI",0.9,-0.13,0.05,0.36,0.01,-0.21,0.31,0.02,0.55,-0.04,0.13,-0.04,-0.03,-0.02
"Jackson, MS",0.5,-0.32,-0.03,-0.02,0.11,0.51,0.18,-0.04,0.3,-0.21,0.2,0.1,-0.02,-0.27
"Jackson, TN",1.1,-0.06,-0.1,0.55,-0.56,,0.05,0.06,0.22,0.25,0.16,-0.06,0.1,0.2
"Jacksonville, FL",3.5,0.02,0.53,,,0.21,0.33,0.13,,0.51,0.34,,0.13,-0.01
"Jacksonville, NC",0.3,-0.45,-0.15,-0.04,0.05,0.27,0.05,0.02,0.42,0.46,0.18,-0.06,-0.06,-0.35
"Janesville-Beloit, WI",2.7,-0.38,-0.11,0.6,0.59,1.04,0.11,-0.1,0.3,0.56,-0.13,0.07,0.04,0.08
"Jefferson City, MO",1.4,-0.28,0.01,0.49,0.46,0.35,-0.28,0.11,0.45,0.11,-0.03,0.09,-0.06,-0.03
"Johnson City, TN",1.8,-0.06,-0.15,0.71,0.19,0.79,0.23,0.01,-0.52,0.55,0.05,0.1,-0.08,0
"Johnstown, PA",0,0.43,-0.13,0.42,0.1,-0.1,0.18,0,0.06,-0.33,-0.52,-0.05,0.01,-0.09
"Jonesboro, AR",1.2,-0.16,-0.09,1.07,0.44,0.3,0.15,0.03,-1.36,0.48,0.49,0.03,-0.13,-0.04
"Joplin, MO",2.8,-0.19,0.13,0.37,1.3,0.09,1,0.1,-0.04,0.02,0.04,0,0.02,-0.03
"Kahului-Wailuku-Lahaina, HI",1.6,-0.34,0.29,0.03,-0.2,0.34,0.07,0.05,-1.18,0.4,1.08,0.89,0.11,0.05
"Kalamazoo-Portage, MI",1.1,-0.2,-0.24,0.72,-0.17,0.99,0.27,0.06,-0.74,0.21,0.28,0.07,-0.09,-0.02
"Kankakee, IL",2,-1.02,-0.04,0.5,3.45,-0.93,-0.16,-0.15,-0.96,1.58,0,0.02,-0.24,-0.04
"Kansas City, MO-KS",1.2,-0.04,0,-0.01,0,0.59,0.05,,0.13,0.54,0.2,0.12,,-0.13
"Kennewick-Richland, WA",1.7,-0.85,0.83,-0.01,0.1,0.34,0,0.06,0.4,-0.1,0.32,0.09,0.15,0.33
"Killeen-Temple, TX",1.7,0.12,-0.31,0.26,-0.45,0.54,0.49,-0.28,0.33,0.46,0.89,0.12,-0.12,-0.38
"Kingsport-Bristol-Bristol, TN-VA",0.8,-0.03,0.29,0.35,-0.19,0.2,0.33,-0.36,0.07,-0.05,-0.07,0,0.12,0.11
"Kingston, NY",1.1,-0.08,0.16,0.1,0.13,,,0,0.11,-0.1,0.29,0.31,0.06,-0.02
"Knoxville, TN",1.7,,,0.03,-0.01,,,0.2,0.36,1.15,0.1,0.03,,0.07
"Kokomo, IN",-2.1,-0.01,-0.11,-2.92,0.15,0.36,0.03,0,0.06,0.03,0.45,-0.03,-0.01,-0.07
"La Crosse-Onalaska, WI-MN",2.4,-0.1,-0.15,0.29,0.19,0.11,0.22,0.09,1.09,-0.17,0.58,0.11,0.09,0.06
"Lafayette, LA",0.4,,-0.26,0.31,-0.56,0.54,0.42,,-0.12,,0.36,-0.18,0.05,-0.06
"Lafayette-West Lafayette, IN",0.9,-0.28,0.05,-0.56,0.44,0.28,0.03,-0.01,0.64,0.06,0.12,0.02,0.29,-0.16
"Lake Charles, LA",1.6,-0.07,2.67,-0.09,-1.25,0.06,0.02,0.19,-0.35,0.49,0.02,-0.09,0.08,-0.03
"Lake Havasu City-Kingman, AZ",3.8,0.02,0.93,0.15,0,1.11,-0.32,-0.2,1.02,0.59,-0.51,0.8,0.04,0.21
"Lakeland-Winter Haven, FL",2.4,-0.62,0,0.03,-0.07,2.33,0.1,-0.04,-0.16,0.07,0.49,0.07,0.07,0.1
"Lancaster, PA",1.8,-0.01,0.51,0.12,-0.19,0.61,0.13,0.03,-0.07,0.4,0.3,0.02,0,-0.01
"Lansing-East Lansing, MI",0.6,-0.1,0.02,-0.9,-0.07,0.51,0.07,0.07,0.49,0.37,0.1,0.11,-0.02,-0.04
